Issue	Word	Count	Per million			
1976-08-10	human	17	904.3996			
1976-08-10	just	17	904.3996			
1976-08-10	old	17	904.3996			
1976-08-10	preacher	17	904.3996			
1976-08-10	preaching	17	904.3996			
1976-08-10	divine	16	851.19965			
1976-08-10	good	16	851.19965			
1976-08-10	jesus	16	851.19965			
1976-08-10	know	16	851.19965			
1976-08-10	let	16	851.19965			
1976-08-10	lord's	16	851.19965			
1976-08-10	said	16	851.19965			
1976-08-10	scriptures	16	851.19965			
1976-08-10	world	16	851.19965			
1976-08-10	years	16	851.19965			
1976-08-10	address	15	797.9997			
1976-08-10	came	15	797.9997			
1976-08-10	congregation	15	797.9997			
1976-08-10	need	15	797.9997			
1976-08-10	place	15	797.9997			
1976-08-10	teaching	15	797.9997			
1976-08-10	way	15	797.9997			
1976-08-10	august	14	744.7997			
1976-08-10	bus	14	744.7997			
1976-08-10	disciples	14	744.7997			
1976-08-10	effort	14	744.7997			
1976-08-10	little	14	744.7997			
1976-08-10	members	14	744.7997			
1976-08-10	religious	14	744.7997			
1976-08-10	truth	14	744.7997			
1976-08-10	year	14	744.7997			
1976-08-10	continued	13	691.59973			
1976-08-10	house	13	691.59973			
1976-08-10	page	13	691.59973			
1976-08-10	pattern	13	691.59973			
1976-08-10	phone	13	691.59973			
1976-08-10	spirit	13	691.59973			
1976-08-10	area	12	638.3997			
1976-08-10	baptism	12	638.3997			
1976-08-10	become	12	638.3997			
1976-08-10	beginning	12	638.3997			
1976-08-10	communion	12	638.3997			
1976-08-10	future	12	638.3997			
1976-08-10	holy	12	638.3997			
1976-08-10	minister	12	638.3997			
1976-08-10	send	12	638.3997			
1976-08-10	TRUE	12	638.3997			
1976-08-10	come	11	585.19977			
1976-08-10	contact	11	585.19977			
1976-08-10	groups	11	585.19977			
1976-08-10	make	11	585.19977			
1976-08-10	ought	11	585.19977			
1976-08-10	paul	11	585.19977			
1976-08-10	present	11	585.19977			
1976-08-10	salvation	11	585.19977			
1976-08-10	set	11	585.19977			
