Date,Volume,Issue,Pages,Cleaned?,Location
1946-10-22,63,43,,,
1946-10-29,63,44,,,
1946-11-05,63,45,,,
1946-11-12,63,46,,,
1946-11-19,63,47,,,
1946-11-26,63,48,,,
1946-12-03,63,49,,,
1946-12-10,63,50,,,
1946-12-17,63,51,,,
1946-12-24,63,52,,,
1946-12-31,63,53,,,
1947-01-07,64,1,,,
1947-01-14,64,2,,,
1947-01-21,64,3,,,
1947-01-28,64,4,,,
1947-02-04,64,5,,,
1947-02-11,64,6,,,
1947-02-18,64,7,,,
1947-02-25,64,8,,,
1947-03-04,64,9,,,
1947-03-11,64,10,,,
1947-03-18,64,11,,,
1947-03-25,64,12,,,
1947-04-01,64,13,,,
1947-04-08,64,14,,,
1947-04-15,64,15,,,
1947-04-22,64,16,,,
1947-04-29,64,17,,,
1947-05-06,64,18,,,
1947-05-13,64,19,,,
1947-05-20,64,20,,,
1947-05-27,64,21,,,
1947-06-03,64,22,,,
1947-06-10,64,23,,,
1947-06-17,64,24,,,
1947-06-24,64,25,,,
1947-07-01,64,26,,,
1947-07-08,64,27,,,
1947-07-15,64,28,,,
1947-07-22,64,29,,,
1947-07-29,64,30,,,
1947-08-05,64,31,,,
1947-08-12,64,32,,,
1947-08-19,64,33,,,
1947-08-26,64,34,,,
1947-09-02,64,35,,,
1947-09-09,64,36,,,
1947-09-16,64,37,,,
1947-09-23,64,38,,,
1947-09-30,64,39,,,
1947-10-07,64,40,,,
1947-10-14,64,41,,,
1947-10-21,64,42,,,
1947-10-28,64,43,,,
1947-11-04,64,44,,,
1947-11-11,64,45,,,
1947-11-18,64,46,,,
1947-11-25,64,47,,,
1947-12-02,64,48,,,
1947-12-09,64,49,,,
1947-12-16,64,50,,,
1947-12-23,64,51,,,
1947-12-30,64,52,,,
1948-01-06,65,1,,,
1948-01-13,65,2,,,
1948-01-20,65,3,,,
1948-01-27,65,4,,,
1948-02-03,65,5,,,
1948-02-10,65,6,,,
1948-02-17,65,7,,,
1948-02-24,65,8,,,
1948-03-02,65,9,,,
1948-03-09,65,10,,,
1948-03-16,65,11,,,
1948-03-23,65,12,,,
1948-03-30,65,13,,,
1948-04-06,65,14,,,
1948-04-13,65,15,,,
1948-04-20,65,16,,,
1948-04-27,65,17,,,
1948-05-04,65,18,,,
1948-05-11,65,19,,,
1948-05-18,65,20,,,
1948-05-25,65,21,,,
1948-06-01,65,22,,,
1948-06-08,65,23,,,
1948-06-15,65,24,,,
1948-06-22,65,25,,,
1948-06-29,65,26,,,
1948-07-06,65,27,,,
1948-07-13,65,28,,,
1948-07-20,65,29,,,
1948-07-27,65,30,,,
1948-08-03,65,31,,,
1948-08-10,65,32,,,
1948-08-17,65,33,,,
1948-08-24,65,34,,,
1948-08-31,65,35,,,
1948-09-07,65,36,,,
1948-09-14,65,37,,,
1948-09-21,65,38,,,
1948-09-28,65,39,,,
1948-10-05,65,40,,,
1948-10-12,65,41,,,
1948-10-19,65,42,,,
1948-10-26,65,43,,,
1948-11-02,65,44,,,
1948-11-09,65,45,,,
1948-11-16,65,46,,,
1948-11-23,65,47,,,
1948-11-30,65,48,,,
1948-12-07,65,49,,,
1948-12-14,65,50,,,
1948-12-21,65,51,,,
1948-12-28,65,52,,,
1949-01-04,66,1,,,
1949-01-11,66,2,,,
1949-01-18,66,3,,,
1949-01-25,66,4,,,
1949-02-01,66,5,,,
1949-02-08,66,6,,,
1949-02-15,66,7,,,
1949-02-22,66,8,,,
1949-03-01,66,9,,,
1949-03-08,66,10,,,
1949-03-15,66,11,,,
1949-03-22,66,12,,,
1949-03-29,66,13,,,
1949-04-05,66,14,,,
1949-04-12,66,15,,,
1949-04-19,66,16,,,
1949-04-26,66,17,,,
1949-05-03,66,18,,,
1949-05-10,66,19,,,
1949-05-17,66,20,,,
1949-05-24,66,21,,,
1949-05-31,66,22,,,
1949-06-07,66,23,,,
1949-06-14,66,24,,,
1949-06-21,66,25,,,
1949-06-28,66,26,,,
1949-07-05,66,27,,,
1949-07-12,66,28,,,
1949-07-19,66,29,,,
1949-07-26,66,30,,,
1949-08-02,66,31,,,
1949-08-09,66,32,,,
1949-08-16,66,33,,,
1949-08-23,66,34,,,
1949-08-30,66,35,,,
1949-09-06,66,36,,,
1949-09-13,66,37,,,
1949-09-20,66,38,,,
1949-09-27,66,39,,,
1949-10-04,66,40,,,
1949-10-11,66,41,,,
1949-10-18,66,42,,,
1949-10-25,66,43,,,
1949-11-01,66,44,,,
1949-11-08,66,45,,,
1949-11-15,66,46,,,
1949-11-22,66,47,,,
1949-11-29,66,48,,,
1949-12-06,66,49,,,
1949-12-13,66,50,,,
1949-12-20,66,51,,,
1949-12-27,66,52,,,
1950-01-03,67,1,,,
1950-01-10,67,2,,,
1950-01-17,67,3,,,
1950-01-24,67,4,,,
1950-01-31,67,5,,,
1950-02-07,67,6,,,
1950-02-14,67,7,,,
1950-02-21,67,8,,,
1950-02-28,67,9,,,
1950-03-07,67,10,,,
1950-03-14,67,11,,,
1950-03-21,67,12,,,
1950-03-28,67,13,,,
1950-04-04,67,14,,,
1950-04-11,67,15,,,
1950-04-18,67,16,,,
1950-04-25,67,17,,,
1950-05-02,67,18,,,
1950-05-09,67,19,,,
1950-05-16,67,20,,,
1950-05-23,67,21,,,
1950-05-30,67,22,,,
1950-06-06,67,23,,,
1950-06-13,67,24,,,
1950-06-20,67,25,,,
1950-06-27,67,26,,,
